Time, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite
52.5, 0.0058, 0.005, 0, 0
53, 0.0022, 0, 0, 0
53.5, 0.0084, 0.0054, 0, 0.0003
54, 0.0008, 0.0016, 0, 0
54.5, 0.0018, 0.0004, 0, 0.0001
55, 0, 0, 0, 0.0005
55.5, 0.0024, 0.0012, 0, 0
56, 0.0012, 0.0032, 0.0001, 0
56.5, 0, 0.0016, 0, 0
57, 0, 0.0018, 0, 0
57.5, 0.0026, 0.0012, 0, 0.0001
58, 0.0026, 0.0016, 0, 0.0001
58.5, 0.0016, 0.0004, 0, 0
59, 0.0024, 0.0016, 0, 0
59.5, 0.0018, 0.0006, 0, 0.0001
60, 0.0002, 0.001, 0, 0.0001
60.5, 0.0022, 0.0024, 0, 0.0003
61, 0.002, 0.0034, 0, 0
61.5, 0.001, 0.0012, 0, 0.0003
62, 0.0036, 0.0024, 0, 0.0001
62.5, 0.0014, 0.0008, 0, 0.0001
63, 0.0008, 0, 0, 0.0001
63.5, 0.0008, 0.0022, 0, 0
64, 0.001, 0.0018, 0, 0
64.5, 0.001, 0.002, 0, 0
65, 0.0008, 0.0006, 0.0001, 0
65.5, 0.0018, 0.0016, 0, 0
66, 0.0014, 0.0004, 0, 0.0001
66.5, 0.003, 0.0022, 0.0001, 0
67, 0.0012, 0.002, 0, 0
67.5, 0.0022, 0.0012, 0, 0
68, 0.001, 0.0024, 0, 0.0001
68.5, 0, 0.0048, 0, 0.0002
69, 0.001, 0.0018, 0, 0
69.5, 0.003, 0.003, 0, 0.0002
70, 0.0038, 0.0036, 0, 0.0002
70.5, 0, 0.0012, 0.0001, 0
71, 0.0032, 0.0044, 0.0001, 0
71.5, 0.0002, 0.0026, 0, 0
72, 0.0028, 0.002, 0, 0.0001
72.5, 0.0008, 0.0008, 0, 0
73, 0.0024, 0.003, 0.0001, 0.0001
73.5, 0.0022, 0.0022, 0, 0
74, 0.0018, 0.001, 0, 0.0001
74.5, 0.002, 0.0024, 0, 0
75, 0, 0, 0, 0
75.5, 0.0016, 0.0012, 0, 0
76, 0.003, 0.003, 0, 0.0002
76.5, 0.0018, 0.002, 0, 0.0002
77, 0.0014, 0.003, 0, 0.0001
77.5, 0.0024, 0.0036, 0, 0
78, 0.001, 0.0014, 0, 0
78.5, 0.004, 0.0054, 0, 0
79, 0.0012, 0.0006, 0, 0.0001
79.5, 0.0012, 0.002, 0, 0
80, 0.003, 0.0012, 0, 0.0001
80.5, 0.0008, 0, 0, 0.0001
81, 0, 0, 0, 0
81.5, 0.0028, 0.0022, 0, 0.0001
82, 0.0002, 0.0016, 0, 0
82.5, 0.0026, 0.002, 0, 0.0002
83, 0.002, 0.0002, 0, 0.0001
83.5, 0, 0, 0, 0.0002
84, 0.0028, 0.0038, 0, 0.0003
84.5, 0.0014, 0.001, 0, 0
85, 0.0018, 0.0044, 0, 0
85.5, 0.0012, 0.0026, 0, 0.0002
86, 0.0046, 0.0048, 0, 0.0003
86.5, 0.003, 0.0038, 0.0003, 0.0002
87, 0.0022, 0.0016, 0, 0.0002
87.5, 0.003, 0.0018, 0, 0.0003
88, 0.002, 0, 0, 0.0001
88.5, 0.0012, 0.0006, 0, 0.0002
89, 0, 0, 0, 0
89.5, 0, 0, 0, 0.0001
90, 0.0038, 0.0052, 0.0001, 0.0002
90.5, 0.0034, 0.0032, 0.0001, 0
91, 0.0018, 0.0014, 0, 0.0001
91.5, 0.0024, 0.0044, 0.0001, 0.0001
92, 0.0016, 0.0014, 0, 0.0002
92.5, 0.0018, 0.0012, 0, 0
93, 0.003, 0.0036, 0.0001, 0
93.5, 0.0042, 0.0052, 0, 0.0004
94, 0, 0, 0, 0
94.5, 0.0016, 0.0026, 0, 0.0001
95, 0.0034, 0.0028, 0, 0
95.5, 0.001, 0.0014, 0, 0
96, 0.0044, 0.0064, 0, 0.0001
96.5, 0.005, 0.006, 0, 0
97, 0.0022, 0.0024, 0, 0
97.5, 0.0032, 0.0028, 0, 0.0003
98, 0.0016, 0.0024, 0.0001, 0.0002
98.5, 0.0032, 0.0044, 0.0001, 0
99, 0.0028, 0.001, 0, 0
99.5, 0.0076, 0.0096, 0, 0
100, 0.0036, 0.005, 0.0001, 0.0002
100.5, 0.0008, 0.0018, 0, 0
101, 0.0002, 0, 0.0001, 0.0001
