Param Set 0
Nominal, Upper, Lower, Experimental
     0.001320,      0.002408,      0.000233,      0.001470
     0.001313,      0.002394,      0.000231,      0.001284
     0.001305,      0.002380,      0.000230,      0.001387
     0.001297,      0.002366,      0.000228,      0.001367
     0.001290,      0.002352,      0.000227,      0.001390
     0.001282,      0.002338,      0.000226,      0.001522
     0.001274,      0.002324,      0.000224,      0.001261
     0.001266,      0.002310,      0.000223,      0.001416
     0.001259,      0.002296,      0.000222,      0.001217
     0.001251,      0.002282,      0.000220,      0.001310
     0.001243,      0.002268,      0.000219,      0.001285
     0.001236,      0.002254,      0.000218,      0.001595
     0.001228,      0.002240,      0.000216,      0.001241
     0.001220,      0.002226,      0.000215,      0.001484
     0.001213,      0.002212,      0.000214,      0.001571
     0.001205,      0.002198,      0.000212,      0.001140
     0.001197,      0.002184,      0.000211,      0.001334
     0.001190,      0.002170,      0.000210,      0.001441
     0.001182,      0.002156,      0.000208,      0.001297
     0.001174,      0.002142,      0.000207,      0.001382
     0.001166,      0.002128,      0.000205,      0.000851
