Time, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite
53, 0.0018, 0.0008, 0, 0.0001
53.5, 0.0032, 0.0026, 0.0002, 0.0003
54, 0, 0.0006, 0.0001, 0.0001
54.5, 0.0008, 0.0008, 0, 0
55, 0.0016, 0.002, 0.0003, 0.0001
55.5, 0.0014, 0.0004, 0, 0.0001
56, 0.0012, 0.0012, 0, 0.0002
56.5, 0, 0.0018, 0, 0.0001
57, 0.0006, 0, 0, 0.0001
57.5, 0.0008, 0.0008, 0, 0
58, 0.0024, 0.0022, 0.0001, 0.0001
58.5, 0.0026, 0.0022, 0.0002, 0
59, 0.0004, 0.0004, 0, 0.0003
59.5, 0.0022, 0.0018, 0, 0.0001
60, 0.0008, 0.0016, 0.0001, 0
60.5, 0.0016, 0.0016, 0, 0.0001
61, 0.001, 0.0008, 0, 0.0001
61.5, 0.0016, 0.0016, 0.0001, 0
62, 0, 0.0006, 0, 0
62.5, 0.0054, 0.007, 0.0001, 0.0003
63, 0.003, 0.0018, 0, 0
63.5, 0.0006, 0.001, 0, 0.0002
64, 0.0014, 0.002, 0, 0.0003
64.5, 0.002, 0.0022, 0, 0
65, 0.0006, 0.0018, 0.0001, 0.0001
65.5, 0.0002, 0, 0, 0.0001
66, 0, 0.0008, 0, 0.0001
66.5, 0, 0, 0, 0.0001
67, 0, 0, 0, 0.0004
67.5, 0.0022, 0.0014, 0, 0.0001
68, 0.002, 0.0012, 0, 0.0002
68.5, 0.0008, 0.0012, 0.0001, 0.0002
69, 0.0006, 0.0008, 0, 0
69.5, 0.0008, 0.0012, 0, 0.0001
70, 0.0006, 0, 0, 0.0001
70.5, 0.001, 0.001, 0, 0.0001
71, 0.001, 0.0018, 0.0001, 0.0002
71.5, 0.001, 0.0018, 0, 0.0002
72, 0, 0, 0, 0
72.5, 0.0022, 0.0014, 0.0003, 0
73, 0.002, 0.0024, 0.0001, 0
73.5, 0, 0, 0, 0.0001
74, 0.0016, 0.001, 0, 0.0006
74.5, 0.0014, 0.0022, 0, 0.0003
75, 0.0048, 0.003, 0, 0.0002
75.5, 0, 0, 0, 0.0001
76, 0.0072, 0.0136, 0, 0.0001
76.5, 0.0014, 0.0042, 0, 0.0003
77, 0, 0, 0, 0.0001
77.5, 0.0012, 0.001, 0, 0.0002
78, 0.0016, 0.0014, 0.0001, 0.0004
78.5, 0.002, 0.003, 0.0002, 0.0002
79, 0, 0.004, 0, 0
79.5, 0.0036, 0.0046, 0, 0.0002
80, 0.0022, 0.0018, 0, 0.0001
80.5, 0.0024, 0.0096, 0.0001, 0.0001
81, 0.005, 0.0084, 0, 0.0001
81.5, 0, 0.0006, 0, 0.0001
82, 0.0012, 0.0006, 0, 0.0002
82.5, 0.0022, 0.0022, 0, 0.0002
83, 0.0026, 0, 0, 0.0004
83.5, 0, 0.0006, 0, 0.0003
84, 0.0012, 0.0012, 0, 0.0001
84.5, 0.0008, 0.0018, 0, 0.0001
85, 0.0016, 0.0008, 0.0001, 0.0001
85.5, 0.0002, 0.0008, 0, 0.0001
86, 0.0032, 0.0036, 0.0003, 0.0001
86.5, 0.0046, 0.013, 0, 0
87, 0.0012, 0.0014, 0.0001, 0.0001
87.5, 0.0014, 0.0014, 0.0001, 0.0001
88, 0.001, 0.0008, 0, 0.0002
88.5, 0.0012, 0.0012, 0, 0
89, 0, 0, 0, 0
89.5, 0.0016, 0.0048, 0, 0.0002
90, 0.0032, 0.008, 0.0001, 0.0001
90.5, 0.004, 0.0052, 0.0002, 0.0001
91, 0.0018, 0.001, 0, 0
91.5, 0.0014, 0.0006, 0.0001, 0.0002
92, 0.002, 0.0028, 0, 0
92.5, 0.0018, 0.005, 0.0001, 0.0001
93, 0.001, 0.0012, 0, 0
93.5, 0.0006, 0.0014, 0.0003, 0.0003
94, 0, 0.0016, 0, 0.0001
94.5, 0.0052, 0.0068, 0.0002, 0.0002
95, 0.0022, 0.003, 0, 0.0005
95.5, 0.0002, 0.0002, 0, 0
96, 0.0004, 0, 0, 0
96.5, 0.0014, 0.0026, 0, 0
97, 0.0014, 0.001, 0, 0
97.5, 0.0026, 0.0044, 0, 0.0001
98, 0.0028, 0.0032, 0, 0.0001
98.5, 0.0018, 0.001, 0, 0.0001
99, 0.0006, 0.001, 0, 0.0001
99.5, 0.0008, 0.0014, 0, 0.0002
100, 0.0038, 0.0054, 0, 0.0003
100.5, 0.0018, 0.0022, 0.0001, 0.0002
101, 0.0006, 0.0012, 0, 0.0001
