Time, Compound, Marker, Metabolite, Total, 
71.5, 0.00163143, 0.00176286, 2.71429e-05, 0.00192714, 
72, 0.00148857, 0.00159429, 2e-05, 0.00170286, 
72.5, 0.00134857, 0.00139143, 1.57143e-05, 0.00158857, 
73, 0.00160571, 0.00176286, 2.28571e-05, 0.00192857, 
73.5, 0.00156286, 0.00179714, 3e-05, 0.00185286, 
74, 0.00147429, 0.00160286, 1.42857e-05, 0.00173857, 
74.5, 0.00131429, 0.00176571, 1.71429e-05, 0.00177143, 
75, 0.00150286, 0.00176286, 1.42857e-05, 0.00188286, 
75.5, 0.00151714, 0.00160286, 1.85714e-05, 0.00174571, 
76, 0.00157429, 0.00176571, 1.42857e-05, 0.00186429, 
76.5, 0.00129143, 0.00168571, 1.85714e-05, 0.00170857, 
77, 0.00112, 0.00138, 2.57143e-05, 0.00155714, 
77.5, 0.00155714, 0.00166857, 2.14286e-05, 0.00184571, 
78, 0.00167429, 0.00181143, 2e-05, 0.00193143, 
78.5, 0.00196, 0.00224286, 3.14286e-05, 0.00221714, 
79, 0.00149143, 0.00151143, 1.57143e-05, 0.00185714, 
79.5, 0.00155429, 0.00189143, 1.85714e-05, 0.00188, 
80, 0.00155714, 0.00170857, 2e-05, 0.00181286, 
80.5, 0.0017, 0.00211714, 2.14286e-05, 0.00203143, 
81, 0.00166571, 0.00206571, 2.28571e-05, 0.00207714, 
81.5, 0.00151714, 0.00172286, 2.14286e-05, 0.00207286, 
82, 0.00149714, 0.00172857, 2.71429e-05, 0.00176429, 
82.5, 0.00142857, 0.00184857, 1.42857e-05, 0.00186857, 
83, 0.00157429, 0.00202, 3.57143e-05, 0.00219857, 
83.5, 0.00129143, 0.00157429, 1.42857e-05, 0.00180286, 
84, 0.00146857, 0.00195429, 1.71429e-05, 0.00198571, 
84.5, 0.00142286, 0.00185143, 3.71429e-05, 0.00180429, 
85, 0.00149429, 0.00173429, 2.57143e-05, 0.00181286, 
85.5, 0.00134, 0.00146, 2e-05, 0.00164571, 
86, 0.00196, 0.00215714, 4e-05, 0.00221286, 
86.5, 0.00165429, 0.00208857, 3.71429e-05, 0.00207571, 
87, 0.00185429, 0.00188857, 2e-05, 0.00209286, 
87.5, 0.00121429, 0.00183143, 3.14286e-05, 0.00179857, 
88, 0.00150286, 0.00174857, 2.14286e-05, 0.00185857, 
88.5, 0.00140571, 0.00171714, 3.85714e-05, 0.00177714, 
89, 0.00121143, 0.00150857, 2.42857e-05, 0.00163, 
89.5, 0.00148, 0.00164857, 1.57143e-05, 0.00185286, 
90, 0.00144286, 0.00180286, 3.28571e-05, 0.00183429, 
90.5, 0.00160286, 0.00187429, 3.57143e-05, 0.00194714, 
91, 0.00181143, 0.00199714, 2.71429e-05, 0.00204571, 
91.5, 0.00150857, 0.0018, 2.71429e-05, 0.00180143, 
92, 0.00170571, 0.00181714, 2.71429e-05, 0.002, 
92.5, 0.00159429, 0.00182857, 3.42857e-05, 0.00201286, 
93, 0.00150286, 0.00202, 3.28571e-05, 0.00200571, 
93.5, 0.00185714, 0.00203429, 3.42857e-05, 0.00216429, 
94, 0.00141429, 0.00176286, 2.42857e-05, 0.00184143, 
94.5, 0.00167143, 0.00191143, 3.42857e-05, 0.00204714, 
95, 0.00152571, 0.00154286, 3.57143e-05, 0.00176429, 
95.5, 0.00144, 0.00189714, 2.85714e-05, 0.00187286, 
96, 0.00138, 0.00188857, 2.14286e-05, 0.00184857, 
96.5, 0.00185714, 0.00217429, 5.85714e-05, 0.00228857, 
97, 0.00144571, 0.00167429, 2.85714e-05, 0.00181571, 
97.5, 0.00180286, 0.00199429, 4.57143e-05, 0.00209143, 
98, 0.00182, 0.00193143, 3.85714e-05, 0.00249429, 
98.5, 0.00136, 0.00155143, 2.71429e-05, 0.00162, 
99, 0.00165429, 0.00173429, 4e-05, 0.00190571, 
99.5, 0.00168286, 0.00195714, 4.42857e-05, 0.00207857, 
100, 0.00156, 0.00169714, 3.42857e-05, 0.00189571, 
100.5, 0.00148857, 0.00199429, 3e-05, 0.00201571, 
101, 0.000985714, 0.00124857, 2.71429e-05, 0.00114429, 
